bike,div_rank,gender_rank,overall_rank,run,swim,name
04:34:18,31,121,132,03:11:11,01:12:44,"Muschiol, Nico 2081"
06:19:12,43,465,1875,04:49:11,01:19:28,"Ford, Susan 809"
04:39:43,63,239,261,03:34:07,00:58:00,"Rodriguez, Sebastien 2050"
05:40:53,148,1297,1671,04:44:03,01:12:48,"Crouser, Mark 2473"
05:25:00,57,311,1530,04:55:40,00:58:07,"Bradley, Meagan 1577"
04:33:06,28,112,123,03:25:58,00:58:29,"Belgy, Guillaume 2013"
04:49:04,34,402,433,03:34:30,01:05:35,"Galt, Dean 897"
05:27:08,217,1160,1423,04:08:54,01:22:01,"Daffey, David 1338"
04:49:11,16,526,563,03:43:13,01:06:28,"aichholzer, hannes 587"
05:22:24,140,727,798,03:35:17,01:01:32,"Gray, Ian 1401"
05:12:13,136,718,789,03:36:29,01:08:23,"Ayala, Sergio 1258"
04:44:19,11,128,139,03:09:14,01:04:02,"Krauth, Joachim 2276"
05:16:09,34,1277,1634,05:14:57,01:03:11,"Paulsen, Daniel 2401"
05:02:24,35,414,445,03:18:36,01:07:19,"Heslinga, Jc 1042"
04:53:01,77,605,649,03:42:44,01:08:07,"Sun, Hyunsoo 1072"
05:29:01,12,92,921,03:34:37,01:08:14,"Green, Tamara 1909"
04:47:20,44,315,340,03:31:55,00:59:08,"Veldeman, Stefaan 1429"
05:47:47,54,293,1493,04:08:34,01:10:01,"Watson, Sarah 1594"
04:49:08,33,131,142,03:19:34,00:51:38,"Jackson, Steve 1976"
05:10:19,5,53,701,03:32:36,01:06:00,"In-Albon, Tina 1583"
06:13:54,183,1515,2064,06:02:11,01:31:29,"Devlin, Patrick 2102"
04:33:38,24,118,129,03:28:11,00:54:58,"De Amorim Filho, Jorge 1651"
--:--:--,--,--,--,--:--:--,--:--:--,"Nicosia, Filippo 1498"
05:23:08,29,1281,1642,04:49:11,01:06:40,"Vrbanac, Michael 346"
05:31:40,10,87,889,03:39:06,00:58:47,"Hayes, Helena 2353"
05:36:32,140,1250,1582,04:37:28,01:10:32,"Gerber, Chris 608"
05:27:33,57,336,1590,04:55:02,01:05:26,"Libach, Charlotte 2177"
05:53:26,242,1362,1782,05:13:15,00:59:06,"Lepps, Owen 1484"
04:30:28,--,--,--,--:--:--,00:50:48,"Tutukin, Ivan 12"
04:39:39,26,104,114,03:16:31,00:56:48,"Kandutsch, Florian 2113"
04:48:08,67,257,279,03:26:44,01:00:16,"Mort, Tom 1991"
04:50:05,92,537,575,03:43:08,01:01:02,"Arlandson, Dan J 1384"
04:58:49,195,1068,1271,04:22:36,01:19:18,"Burns, Kevin 885"
04:49:00,73,646,697,04:02:17,00:58:48,"Wehrle, Christopher 2283"
04:42:51,58,259,281,03:30:44,01:00:39,"Renzi, Luca 1778"
05:34:39,39,212,1297,03:57:15,01:12:46,"Pennington, Megan 1628"
05:37:11,245,1375,1803,05:05:22,01:17:23,"Cotton, Jon 1337"
05:00:54,211,1163,1430,04:45:58,01:12:19,"Charles, Lee 1026"
05:03:42,217,1181,1462,04:57:39,01:02:55,"Thaus, Peter 950"
05:19:07,29,207,1282,04:11:58,01:12:05,"Koester, Jen 2356"
07:29:32,32,1663,2298,07:09:18,01:45:44,"Hamaguchi, Tatsuo 164"
06:30:56,13,1553,2125,06:06:02,01:30:41,"Hochstrasser, Max 145"
04:52:16,165,935,1080,04:11:57,01:17:36,"Carlsson, Christian 888"
04:52:17,74,665,719,04:01:08,00:58:40,"Andersson, Dennis 2215"
--:--:--,--,--,--,--:--:--,--:--:--,"Chain, Jeanna 1202"
06:26:15,27,474,1888,04:38:51,01:28:15,"Reed, Pam 557"
--:--:--,--,--,--,--:--:--,--:--:--,"Braun, Thomas 728"
05:14:53,106,743,819,03:36:57,01:08:04,"Offenhuber, Marcus 996"
05:43:05,59,341,1604,04:24:28,01:20:16,"Shaw, Karen 1947"
05:10:02,59,893,1015,03:55:29,01:12:11,"Senn, Rolf 791"
05:44:59,18,1218,1526,04:18:25,01:12:30,"Bode, Andreas 291"
04:52:33,106,412,443,03:28:20,01:07:15,"Ruppel, Rafael 2128"
05:20:43,149,685,746,03:30:10,01:01:21,"Pajor, Gabor 1742"
05:30:24,180,1350,1761,05:03:16,01:25:30,"Peed, Shane 2048"
05:37:22,206,1077,1284,03:53:12,01:12:14,"Malvezzi Martinez, Osvaldo Maximiliano 1354"
06:42:12,195,1559,2133,06:01:32,01:28:31,"Andersson, Mats 720"
04:40:16,19,162,177,03:19:26,01:03:33,"Fouss, François 1283"
--:--:--,--,--,--,--:--:--,--:--:--,"Jansen, Mark 985"
--:--:--,--,--,--,--:--:--,--:--:--,"Brown, Michael 1448"
05:18:00,21,125,1019,03:45:28,01:15:52,"Bach, Jennifer 1576"
06:10:25,11,403,1738,04:42:04,01:04:18,"Åstrand, Annika 569"
05:29:46,9,1002,1165,03:40:53,01:22:04,"Mcgovern, Brian 331"
05:14:59,57,508,543,03:09:10,01:15:13,"Kunze, Alexander 909"
05:14:39,168,1066,1269,04:18:13,01:06:33,"Valdivieso, Ignacio 2059"
07:46:26,209,1656,2288,06:46:38,01:36:50,"Burdorf, Gary 731"
05:46:33,9,220,1315,03:50:40,01:09:19,"Wheeler, Kiah 2455"
07:08:02,264,1504,2048,04:45:50,01:46:38,"Shepherd, Paul 1157"
05:02:37,103,1082,1290,04:35:42,01:05:53,"Joly, Christophe 615"
07:44:45,14,611,2227,06:22:34,01:16:00,"Dejesus, Sue 250"
04:45:46,60,234,256,03:34:24,00:53:49,"Linssen, Rik 2080"
05:40:38,21,380,1687,04:48:39,01:15:33,"Coeck, Inge 848"
04:47:04,41,439,471,03:29:16,01:13:16,"Takeya, Kenji 948"
