"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Peron, Lucien 778","134","1222","1535","01:08:39","05:34:30","04:29:55"
"Macdonald, Ailsa 1920","17","120","1008","01:28:01","05:22:49","03:27:02"
"Ronaszeki, Balazs 1689","32","146","159","01:04:49","04:41:34","03:14:25"
"Wu, Wenhui 1528","259","1551","2123","01:38:16","06:40:52","05:48:05"
"Contant, Dan 489","8","749","825","01:09:41","05:10:07","03:41:29"
"Potter, John Leroy 632","39","755","831","00:58:05","05:11:38","03:50:56"
"Nagle, Melinda 814","16","332","1581","01:10:41","05:36:09","04:38:51"
"Cao, Junyu 2017","155","853","953","01:03:20","05:13:18","03:58:42"
"Azurtza, Todor 1087","278","1612","2220","01:24:59","06:56:59","06:52:59"
"Verhaert, Sebastiaan 1431","66","445","477","01:03:34","04:53:03","03:34:01"
"Weigel, Benjamin 2269","47","396","427","01:00:42","04:49:38","03:36:52"
"Angelastri, Sandro 290","--","--","--","--:--:--","--:--:--","--:--:--"
"Renato Machado Gomes, Luiz 176","5","1422","1903","01:14:54","06:07:24","05:15:32"
"Lindholm, Tommi 1486","155","815","903","01:21:24","05:13:22","03:33:46"
"Faucheaux, Blair 1817","226","1557","2130","01:24:32","06:28:19","06:26:32"
"Jukes, Lucinda 2372","49","425","1798","01:11:00","06:00:37","04:52:46"
"Toth, Jean 254","6","559","2088","01:22:54","07:11:09","05:21:57"
"Snead, Christopher 1517","231","1273","1628","01:17:27","05:38:12","04:34:57"
"Timewell, Yvonne 868","2","121","1012","01:07:40","05:20:51","03:50:27"
"Lopez Palenzuela, Jorge 1410","36","263","285","01:00:19","04:57:16","03:16:16"
"Schulze, Sven 1513","205","1047","1241","01:00:00","05:08:47","04:29:41"
"Gouws, Eulali 2170","15","81","845","01:11:19","05:20:25","03:34:53"
"Perez, Tatum 1607","59","315","1542","01:10:05","06:13:37","03:52:20"
"Harris, Darryl 432","34","1065","1268","01:01:52","05:14:57","04:22:43"
"Mariotte, Christophe 993","230","1254","1588","01:08:15","05:14:32","05:02:28"
"Simsuangco, Noriel 1370","230","1260","1597","01:33:57","05:34:04","04:18:58"
"Michelmore, Samantha 1625","91","504","1971","01:30:47","06:43:20","04:53:53"
"Roncska, Robert 1064","251","1404","1863","01:19:55","05:59:06","05:08:21"
"Lee, Myeong Soon 562","42","562","2097","01:38:43","06:58:45","05:22:34"
"Zieman, Chris 1019","20","310","334","01:23:05","04:38:04","03:15:44"
"Awad Abed, Maria Desiree 355","15","519","1998","01:29:11","07:07:06","04:45:08"
"Mira Nunes, Luís 924","44","454","487","01:13:06","04:56:16","03:23:41"
"Li, Chang-Tai 2257","78","739","813","01:07:45","05:11:47","03:41:22"
"Leiro, Agustin Ricardo 1981","40","163","178","00:59:10","04:37:41","03:23:58"
"Lao Fernández, Rafael 1770","28","135","147","00:55:34","04:43:34","03:20:13"
"Mcmaster, Sue 565","21","452","1846","01:07:02","05:55:28","05:16:16"
"Mattson, David 919","221","1197","1486","01:05:29","05:25:50","04:34:27"
"drouault, julien 1761","151","695","758","01:04:47","05:02:29","03:49:02"
"Macminn, Derek 503","27","1005","1169","01:07:04","05:12:33","04:10:00"
"Dronkers, Alexandra 258","8","588","2164","01:30:26","07:08:16","06:03:22"
"Hefti, Hermann 144","2","1342","1748","01:28:16","05:48:48","04:38:02"
