"Name","div_rank","gender_rank","overall_rank","swim","bike","run"
"Müller, Bernd 240","27","1507","2052","01:45:32","06:05:16","05:55:04"
"Seidel, Ronny 1858","133","572","616","01:01:25","04:59:57","03:39:06"
"Wu, Ming-Chieh 1794","176","878","993","01:12:51","05:11:30","03:51:34"
"Toyokawa, Yuki 1569","80","404","1739","01:16:24","06:28:34","04:10:07"
"Sankoff, Jeffrey 636","99","1059","1256","01:06:29","05:07:52","04:23:00"
"Burian, Ladislav 1092","183","1023","1203","01:13:27","05:12:42","04:09:24"
"Allica, Josu 1084","11","219","240","01:01:46","04:50:14","03:17:40"
"Akira, Sakata 2394","30","1134","1377","01:11:47","06:05:08","03:37:11"
"Harinck, David 979","124","797","883","01:03:45","04:50:35","04:10:25"
"Journot, Matthieu 1767","54","246","268","00:51:38","04:44:55","03:33:05"
"Lichtkoppler, Kurt 913","24","331","359","01:07:12","04:49:04","03:22:50"
"Russell, Matt 58","6","6","6","00:54:02","04:12:58","02:52:56"
"Iannarelli, Carla 2154","9","62","750","01:08:16","05:17:36","03:30:46"
"Day, Stephen 1030","10","217","237","01:06:22","04:49:30","03:14:13"
"Beci Calvo, Axel 1801","94","395","426","01:08:52","04:50:50","03:29:06"
"Manalich, Felipe 1736","132","555","597","00:58:38","04:48:31","03:49:05"
"Moncada, Carlos 1846","118","495","529","00:56:52","04:51:54","03:47:41"
"Densa, Domen 1274","84","518","553","00:58:51","04:54:21","03:44:21"
"Tamega, Guilherme 1161","55","503","538","01:02:36","04:51:26","03:43:31"
"Brettas, Leonardo 884","18","300","323","01:03:36","04:45:19","03:27:49"
"Seo, Jung-Lee 371","39","630","2270","01:51:57","07:31:28","06:28:32"
"Couanis, Gary 1454","126","668","722","00:57:46","05:14:54","03:36:04"
"Hola, Ken 139","6","1620","2236","01:30:14","06:58:58","06:50:36"
"Bordiga, Mirko 690","179","1444","1935","01:41:40","06:16:45","04:45:23"
"Wong Diaz, Inés Adriana 1903","57","318","1552","01:15:51","05:48:18","04:17:26"
"Schenk, Olaf 788","97","1054","1248","01:11:23","05:17:53","04:09:39"
"Enslin, Michelle 808","1","80","840","01:06:49","05:16:27","03:41:35"
"Oldenburg, Christoph 772","174","1423","1905","01:17:17","05:22:20","05:55:57"
"Pacher, Daniel 1503","168","873","984","01:07:11","04:56:55","04:10:24"
"Ines Villaverde, Maria 1185","43","330","1575","01:33:30","05:50:01","03:58:46"
"Tomita, Hiroshi 247","46","1650","2280","02:13:07","07:47:51","06:06:32"
"Schmidt-Mongrain, Sharon 1566","2","40","581","01:03:04","05:08:14","03:30:46"
"Waterstraat, Christian 1017","103","732","805","01:01:25","04:44:59","04:12:36"
"Hassan, Saif 1822","212","1325","1719","01:21:03","05:52:32","04:37:26"
"Fairbanks, Daniel 740","143","1255","1591","00:55:19","05:21:35","05:05:36"
"Kaier, Reinhard 754","--","--","--","--:--:--","--:--:--","--:--:--"
"Hashimoto, Takio 165","15","1561","2136","01:47:46","06:43:10","05:49:31"
"Tschech, Tanja 1233","5","89","907","01:00:36","05:15:25","03:54:35"
"Chivers, Leigh 106","71","306","330","00:57:45","04:49:18","03:27:20"
"Oshima, Jin 2262","67","593","637","01:08:30","05:14:05","03:22:04"
"Kerimbayeva, Nagima 1605","58","313","1534","01:16:11","05:41:48","04:20:26"
"Crofton, Jackie 1538","36","189","1230","01:19:34","05:48:31","03:31:55"
"Davis, Matthew 1649","43","198","216","01:09:17","04:35:10","03:24:38"
"Muijs, Leo 335","30","1289","1654","01:11:15","05:31:21","04:55:19"
"LIBER, DMITRII 1771","81","348","377","00:57:59","04:52:57","03:30:51"
"McMillin, Kyle 768","192","1511","2058","01:42:44","06:13:35","05:46:59"
"Hermansson, Lisa 2175","40","219","1314","01:03:35","05:26:03","04:18:00"
"Kaye, Brad 907","173","979","1136","01:14:23","05:07:11","04:08:10"
"Olkvist, Christoffer 1360","177","920","1060","01:07:59","05:01:39","04:11:51"
"Lehrieder, Gerald 409","78","1270","1619","01:29:46","05:48:23","04:15:28"
"Van Rensburg, Reon 1168","273","1566","2147","01:25:02","06:57:31","06:00:33"
"Zaid, Lakhdar 800","133","1217","1525","01:06:05","05:28:14","04:35:46"
"Höiom, Måns 982","182","1022","1201","01:11:16","05:21:15","04:02:31"
"Dabrowski, Dariusz 1269","12","127","138","01:02:07","04:34:17","03:22:34"
"Gennari, Gustavo 1284","74","479","512","01:03:50","04:49:12","03:42:11"
"Fabian, Kimberly 1221","12","145","1074","01:08:00","05:24:43","03:50:24"
"Chiarello, Greg 161","14","1556","2129","01:38:44","07:11:52","05:34:08"
"Sagrero Rodriguez, Rosa Isela 1565","69","365","1652","01:11:49","05:53:50","04:32:23"
"Vieira, Pedro 1377","161","840","936","01:08:20","05:14:19","03:50:07"
"Skoda, Ronald 1516","227","1235","1555","01:38:02","05:30:50","04:13:42"
"Bourguet, Benoit 1389","17","145","158","00:55:40","04:38:02","03:27:42"
"Christ, Doug 1393","257","1529","2087","01:05:10","05:57:20","06:57:31"
"Worroll, Paul 688","56","870","981","01:04:18","05:11:00","04:00:19"
"Doornbos, Erik 1760","104","430","462","01:01:58","04:44:31","03:41:59"
"Nyberg, Johan 1681","184","922","1064","01:03:33","05:48:25","03:29:07"
"Emde, Frank 739","87","1009","1175","01:04:58","05:07:11","04:18:41"
"Bubb, Sophie 1877","--","--","--","01:08:08","05:32:19","--:--:--"
"Nasser, Chris 1992","134","642","692","01:03:33","05:04:38","03:41:01"
"Oh, Il Hwan 1060","129","813","901","01:13:23","05:01:15","03:48:30"
"Vinogradov, Egor 1707","--","--","--","--:--:--","--:--:--","--:--:--"
"Van Wyk, Ryno 2316","--","--","--","01:07:35","--:--:--","--:--:--"
"Knapp, Juergen Werner 168","--","--","--","--:--:--","--:--:--","--:--:--"
"Viroli, Vanni 319","52","1484","2006","01:33:46","06:27:47","05:15:56"
"Alfaro, Fernando 2140","--","--","--","--:--:--","--:--:--","--:--:--"
"Cezar, Gustavo 2018","123","545","585","00:59:35","04:49:11","03:50:47"
"Gonon, Antoine 1465","90","534","572","00:56:52","04:56:27","03:45:05"
"Dieckhoff, Thomas 310","61","1567","2148","01:51:20","06:27:56","06:00:58"
"Stubleski, Daniel 1321","25","193","211","01:00:30","04:34:01","03:34:13"
"Jalabert, Laurent 662","5","347","376","01:10:17","04:31:38","03:40:06"
"Simpson, Rick 202","24","1494","2024","01:06:01","05:40:20","06:53:24"
"Buckingham, Kyle 15","23","24","24","00:50:44","04:20:17","03:10:14"
"Schmalkoke, Thilo 1004","153","889","1009","01:18:48","05:03:48","03:53:05"
"Tercek, Alison 2345","43","342","1606","01:07:56","05:37:26","04:46:09"
"Candida Saldanha, Marilza 817","59","526","2013","01:20:05","06:31:35","05:35:00"
"Christe, Romain 965","46","462","495","01:07:27","04:44:48","03:40:41"
"Bullen, Liam 105","27","989","1148","01:02:35","05:21:43","04:02:01"
"Rit, Stéphane 1148","33","392","423","01:08:33","04:50:40","03:28:09"
"LOBO, SYLVIA 1244","76","579","2143","01:26:49","06:37:42","06:22:38"
"Bluff, Daniel 2396","10","435","467","01:01:30","04:33:58","03:57:05"
"Lecompt, Cyril 2040","51","210","228","01:02:17","04:40:07","03:25:36"
"Sakurai, Ryuta 1510","--","--","--","01:03:36","--:--:--","--:--:--"
"Dossche, Karl 694","75","960","1114","01:10:04","05:17:12","03:53:55"
"Bareuther, Frank 649","107","1087","1303","01:10:15","05:23:42","04:08:42"
"Schefter, Mark 2395","22","854","954","01:13:03","04:52:02","04:08:28"
"Sunners, James 449","43","1130","1372","01:10:38","05:04:03","04:37:23"
"Z'Berg, Ernst 533","103","1427","1909","01:26:04","05:50:48","05:20:59"
"Sanders, Lionel 2","28","29","30","00:53:59","04:16:58","03:15:26"
"Sparidaans, Glenn 1747","160","717","787","01:13:03","05:02:05","03:38:24"
"Ishida, Nagiho 2378","50","446","1837","01:00:10","06:08:49","05:07:31"
"Boulmeti, Evgenia 2185","6","50","687","01:08:16","05:05:58","03:36:54"
"Gervais, Matt 1723","203","1131","1373","01:01:27","05:00:36","04:50:41"
"Aguilar, Kathryn 1532","38","201","1262","01:08:23","05:29:16","04:00:49"
"Black, Larry 275","33","1316","1701","00:57:58","05:33:03","05:16:02"
"Schildknecht, Ronnie 52","--","--","--","00:54:08","04:29:05","--:--:--"
"Fenton, Hilary 2325","3","35","535","01:04:13","05:05:26","03:27:43"
"Behler, Jeremy 1332","143","748","824","01:03:41","05:09:15","03:50:44"
"Pruett, William 783","199","1588","2183","01:20:22","06:51:16","06:35:40"
"Luginbühl, Christoph 1773","92","393","424","01:05:03","04:40:58","03:37:06"
"Hussmann, Per 701","95","1050","1244","01:15:42","05:19:16","04:01:07"
"Bourdillon, Patrick 143","16","1562","2137","01:40:14","06:46:50","05:56:56"
"Hoare, Becky 2370","--","--","--","--:--:--","--:--:--","--:--:--"
"Larsson, Johan 1835","72","307","331","01:00:48","04:46:16","03:29:39"
"Scheibehenne, Dr. Günther 178","8","1474","1988","01:45:40","06:44:26","04:48:10"
"Berredo, Pedro 1259","234","1287","1651","01:01:39","05:01:45","05:35:26"
"Alberti, Vanusa 1533","64","343","1608","01:21:10","06:06:57","03:59:17"
"Lopes, Marcos Felipe Mendes 1303","75","480","513","01:00:39","04:48:53","03:44:28"
"Gystad, Thorstein 610","7","365","394","01:08:34","04:51:02","03:23:59"
"Kusunoki, Masaki 1121","192","1057","1253","01:13:59","05:27:01","03:52:10"
"Mclaughlan, Joanne 812","15","320","1554","01:11:01","05:25:54","04:46:51"
"Watson, Janet 273","15","615","2232","01:53:29","07:14:07","06:11:16"
"Delbury, Gerard 163","25","1640","2269","01:45:23","07:19:49","06:42:02"
"Vanacker, Xavier 1426","124","664","718","01:04:13","04:53:49","03:49:26"
"Javens, Amy 1186","23","225","1320","01:14:24","05:17:37","04:14:50"
"Fragnière, Karine 850","17","333","1585","01:18:17","05:50:27","04:18:53"
"Roth, Lukas 2309","20","179","196","01:07:57","04:44:51","03:12:41"
"Fritsch, Jill 1620","98","613","2229","01:29:48","07:02:02","06:39:00"
"Tryoen, Nadege 1923","38","211","1293","01:10:56","05:31:16","04:02:54"
"Brazzale, Jackson 2289","65","565","608","01:10:13","04:47:56","03:44:22"
"Nunez, Juan 995","233","1274","1629","01:02:53","05:31:37","04:57:45"
"Sato, Fumiaki 142","--","--","--","01:38:57","08:01:26","--:--:--"
"Liouta, Lamprini 2329","26","185","1217","01:16:28","05:23:08","03:57:27"
"Possenriede, Carsten 1000","99","701","766","01:18:25","05:08:02","03:26:36"
"Ramirez Bernal, Cesar 1507","243","1364","1784","01:31:22","06:16:40","04:16:18"
"Kojima, Yutaka 124","--","--","--","--:--:--","--:--:--","--:--:--"
"Svejstrup, Christina 1916","1","29","362","01:09:12","04:55:10","03:17:13"
"Tanabe, Rio 843","48","483","1910","01:28:31","06:46:51","04:26:29"
"Zhang, Huifeng 2319","99","1629","2247","01:47:42","07:08:54","06:35:40"
"Jensen, Ib Erik 313","43","1400","1857","01:22:13","05:48:53","05:11:33"
"Perroteau, Alain 416","19","915","1051","01:17:20","04:56:11","04:05:49"
"Gregory, Colin 1038","188","1041","1229","01:17:40","05:06:57","04:15:27"
"Wardrope, Kate 1635","63","334","1586","01:08:39","05:38:40","04:38:31"
"Pearce, Adrian 777","158","1340","1746","01:08:28","05:43:13","05:06:50"
"Newman, Steven 1416","100","583","627","01:07:30","04:40:20","03:55:00"
"Labouchere, David 408","10","768","851","01:09:40","04:46:15","04:10:54"
"Gmünder, Gabriel 1819","18","100","110","00:53:02","04:51:38","03:07:51"
"Gensior, Berenike 365","13","512","1984","01:28:46","06:41:48","05:04:31"
"Alberola Teruel, Sergio 1436","199","1013","1182","01:00:21","05:20:07","04:13:38"
"Sapieha, Nicolas 2085","10","61","66","00:53:06","04:25:18","03:24:08"
"Bickerstaff, Ryan 1639","135","578","622","00:55:27","04:49:44","03:59:04"
"Calahorra, Mikel 1647","187","973","1129","00:58:04","04:52:54","04:36:19"
"Spasojevich, Thomas 125","--","--","--","01:53:42","--:--:--","--:--:--"
"Rafferty, Dennis 517","132","1657","2289","01:20:00","06:46:34","08:06:40"
"Kristensen, Lennie 664","28","678","736","01:45:59","04:47:26","03:19:39"
"Fuchs, Andreas 1463","45","316","341","01:01:58","04:34:46","03:44:09"
"Chmielewski, Piotr 1450","248","1396","1849","01:10:14","05:28:35","05:39:31"
"Mazin, Irena 1246","30","270","1437","01:20:07","05:34:05","04:06:13"
"Ung, Ryan 2089","115","500","534","01:03:02","05:03:50","03:30:16"
"Guillaume, Benoit 2141","143","712","780","01:01:24","04:39:51","04:15:38"
"Gruber, Michael 405","20","927","1070","01:12:39","05:07:06","03:59:48"
"YIJUN, Zhang 2137","184","1528","2085","02:03:37","07:03:36","04:52:38"
"Worland, Jacinta 1254","15","166","1174","01:03:23","05:28:14","04:04:51"
"O'Neill, Ben 2046","82","320","346","00:55:29","04:37:22","03:48:57"
"Aubonnet, Christophe 1086","244","1366","1787","01:22:21","05:49:04","04:55:21"
"Price, Ed 515","63","1216","1524","01:08:46","05:38:22","04:22:48"
"Zhang, Yu Xuan 2138","179","1346","1754","01:29:11","06:15:30","04:11:52"
"Casini, Riccardo 1024","100","707","773","01:01:47","04:55:42","03:57:27"
"Reynolds, Ryan 2208","69","620","2249","01:56:51","07:09:15","06:24:10"
"Lester, Carrie 3014","--","--","--","00:56:45","04:46:02","--:--:--"
"Ossedat, Jerome 1501","183","945","1094","01:16:57","04:53:28","04:16:13"
"Elstob, Sam 2391","8","309","333","00:54:24","04:45:36","03:39:18"
"Olderog, Mark 211","32","1526","2083","01:13:12","07:07:22","05:37:14"
"Thompson, Roger 1074","69","571","615","00:57:50","04:57:18","03:45:30"
"Ramali, Pascal 2127","30","119","130","00:58:51","04:29:51","03:28:27"
"Lenharo, Ariel 1734","122","516","551","01:01:16","04:53:00","03:44:11"
"Middleton, Steven 1414","--","--","--","--:--:--","--:--:--","--:--:--"
"Molina, Panter 626","128","1170","1440","01:09:08","05:42:00","04:11:26"
"Clemente, Bonieck 1809","105","431","463","00:55:30","04:58:08","03:35:18"
"Harsley, Stuart 902","201","1100","1329","01:09:35","05:11:38","04:20:54"
"Spillane, Linda 271","--","--","--","--:--:--","--:--:--","--:--:--"
"Walters, Star 272","7","585","2156","01:46:10","07:15:59","05:28:53"
"Blais, Vincent 2288","69","608","655","01:09:32","04:51:40","03:44:20"
"Pagliughi, Ken 150","28","1651","2282","01:38:33","07:20:30","07:04:57"
"Köhn, Silas 2255","14","154","167","00:53:17","04:46:29","03:22:36"
"Lack, Ian 910","47","467","500","01:02:28","04:54:53","03:37:31"
"Saussus, Ophelie 2431","18","319","1553","01:06:46","05:51:33","04:24:13"
"Minagawa, Akiko 813","51","489","1920","01:45:33","06:34:39","04:16:51"
"French, Marsha 1223","24","227","1323","01:00:26","05:49:41","03:53:27"
"Lim, Seok-Min 170","--","--","--","02:05:22","07:43:45","--:--:--"
"Jahn, Kirsty 3008","--","--","--","00:58:21","04:53:31","--:--:--"
"Ganser, Markus 975","126","803","890","01:07:10","04:39:26","04:20:51"
"Pease, Kyle 112","10","1545","2114","01:07:32","08:22:02","04:45:53"
"Hueber, Boris 1663","202","1126","1363","01:14:54","05:23:23","04:14:02"
"Knibb, Leslie 539","3","287","1482","01:03:36","05:25:29","04:39:37"
"Schulmeyer, Ingo 1512","115","645","695","01:07:53","04:50:41","03:52:42"
"Steele, Ben 1518","236","1300","1675","01:17:06","05:44:18","04:35:49"
"Shortte, Kelvin 941","219","1187","1469","01:05:23","05:45:32","04:10:42"
"Prigent, Jerome 781","52","824","913","01:01:07","04:55:36","04:11:26"
"Chafer, Andrew 733","162","1377","1807","01:26:16","05:54:54","04:50:40"
"Daggett, Julia 351","1","344","1610","01:21:10","05:52:33","04:19:49"
"Font Balduque, Leonor 2200","--","--","--","--:--:--","--:--:--","--:--:--"
"Goetz, Sami 2295","10","103","113","00:59:09","04:33:56","03:20:54"
"Whittington, Cassie 1902","60","349","1618","01:09:23","05:58:33","04:27:24"
"Adams, Chris 1712","171","833","928","01:08:18","05:17:08","03:42:13"
"Farina, Lorena 1541","41","238","1364","01:18:58","05:22:26","04:11:23"
"Matricardi, Lauren 2158","50","274","1449","01:15:37","05:32:46","04:15:52"
"Pasch, Philip 2231","98","1355","1770","01:08:13","06:36:44","04:18:09"
"Lehmann, Walter 991","--","--","--","--:--:--","--:--:--","--:--:--"
"Meuser, Christian 303","11","1133","1376","01:25:56","05:14:34","04:09:05"
"Sajulga, Felipe 1691","120","512","547","01:11:34","04:59:48","03:26:35"
"Burt, Nichloas 1022","12","241","263","01:00:29","04:50:50","03:20:01"
"Durey, Thomas 1397","15","138","151","00:53:14","04:38:31","03:28:30"
"Marsh, Scott 1130","121","794","880","01:08:28","04:58:34","03:57:49"
"Weeks, Tony 1082","81","616","665","01:03:23","04:51:17","03:52:35"
"Mertins, Frank 1490","171","882","1000","00:51:50","05:02:13","04:22:39"
"Perreault, Charles 1140","--","--","--","00:58:10","--:--:--","--:--:--"
"Ge, Wei 1399","239","1336","1741","01:21:28","05:56:32","04:27:22"
"Tanaka, Nobuyuki 318","58","1537","2101","01:15:20","06:04:35","06:53:18"
"Alvarez Gomez, Ivan 1438","--","--","--","00:57:18","--:--:--","--:--:--"
"Kaiv, Taavi 2302","86","990","1149","01:13:36","04:59:40","04:19:04"
"Young, Jimi 958","223","1204","1500","01:18:20","05:19:25","04:29:33"
"Patel, Dixit 776","207","1631","2251","01:36:18","07:37:39","06:22:23"
"Millar, Garth 770","172","1412","1881","01:16:56","06:01:11","05:09:56"
"Pilcher, Steve 513","80","1295","1664","01:13:36","05:39:48","04:49:13"
"Barker, Roger 138","--","--","--","02:20:35","--:--:--","--:--:--"
"Renouf, Katherine 2341","9","67","777","00:53:15","05:13:56","03:51:40"
"Sébastien, BAILLOT 2096","110","451","484","00:56:30","05:10:28","03:19:59"
"Flanagan, Brendan 1342","153","802","888","01:06:20","05:05:34","03:52:42"
"Nicco, Henrique 2260","34","288","311","01:07:37","04:38:26","03:30:30"
"Wood, Nicole 2333","38","276","1452","01:02:36","05:27:08","04:35:13"
"Hori, Naoyuki 983","181","1020","1198","01:04:07","05:27:27","04:05:34"
"Esser, Kevin 1279","201","1025","1205","01:19:22","05:03:17","04:12:17"
"Ibert, Lasse 2033","21","91","98","00:58:04","04:29:11","03:24:48"
"Marci, Flander 2123","58","230","252","00:52:59","04:54:17","03:25:42"
"Arteche, Joao Arteche 1753","117","492","525","00:54:31","04:52:12","03:49:39"
"Pitman, Allan 175","3","1397","1850","01:17:17","06:21:28","04:45:56"
"Mercy, Tim 2258","23","194","212","01:05:16","04:51:30","03:09:39"
"Gildea, Scott 1106","257","1436","1926","01:19:49","05:45:25","05:34:07"
"Neves, Goncalo 925","166","936","1081","01:01:41","05:20:34","04:01:28"
"Auditore, Chris 1440","29","211","229","00:55:21","04:51:29","03:20:21"
"Adkins, Elizabeth 1573","96","539","2036","01:28:35","06:46:01","05:20:33"
"Godart , Olivier  1286","--","--","--","--:--:--","--:--:--","--:--:--"
"Frähmcke, Nathalie 2441","19","327","1572","01:17:53","05:46:09","04:24:30"
"Weber, Stephan 1432","48","330","358","01:02:07","04:50:52","03:28:16"
"Green, Mike 1108","258","1443","1934","01:26:55","06:08:07","05:14:26"
"Akiba, Noriyuki 875","118","788","871","00:59:43","05:00:27","04:06:12"
"Suraev, Vadim 946","84","633","682","01:01:19","04:47:31","04:00:30"
"Manning, Hailey 1937","35","195","1248","01:00:51","05:25:40","04:14:43"
"Mathys, Bart 1304","60","421","453","01:01:33","04:41:22","03:47:28"
"Larue, Bob 1980","133","627","676","01:13:50","04:57:13","03:36:14"
"Horiba, Manami 2427","34","589","2166","01:26:34","07:02:01","06:16:06"
"Pavoni, Ronan 928","14","256","278","01:00:10","04:35:58","03:39:27"
"Spraggins, Joe 2280","62","554","596","01:11:59","04:53:59","03:34:36"
"Dahlman, Jens 1810","55","249","271","01:06:14","04:47:36","03:20:42"
"Jose Gonzalvo, Albert 1730","91","390","421","01:13:26","04:55:15","03:17:39"
"González Alvarez, Jorge 1439","77","487","520","01:00:32","04:58:03","03:37:48"
"Brinkmann, Marc 1447","3","74","80","01:02:20","04:31:47","03:12:24"
"Domengeaux, Ryan 1096","282","1624","2242","02:04:03","07:05:16","06:13:46"
"Mckee, Rebecca 1187","7","101","956","01:10:58","05:15:50","03:48:34"
"Seguin, Isabelle 581","48","597","2185","01:32:15","06:51:36","06:25:47"
"Woog, David 2318","36","299","322","00:58:43","04:57:44","03:20:09"
"Gilden, Jacob 2029","53","221","242","01:00:50","04:49:52","03:19:20"
"Stueckle, Wolfgang 1748","181","905","1035","01:05:15","04:42:43","04:30:26"
"Lepisto, Jenna 1555","79","395","1720","01:03:09","05:58:36","04:41:10"
"Haglund, Fredrik 1039","54","501","536","00:53:06","04:43:23","04:01:37"
"Johnson, Charlotte 853","61","555","2073","01:28:43","07:09:26","05:11:49"
"Guilloux Reynaud, Sonia 1547","83","413","1765","01:16:04","06:05:10","04:35:20"
"Harms, Patrick 2109","169","1070","1274","01:13:34","05:05:48","04:20:41"
"Ait Kabboura, Kiram 1574","67","357","1633","01:19:59","05:40:19","04:34:17"
"Fewster, Michael 2248","87","1026","1206","01:06:33","05:11:53","04:16:44"
"Saitch, Hannah 2194","37","199","1258","01:07:44","05:18:25","04:15:54"
"Wallack, Neil 798","150","1303","1679","01:09:27","05:37:33","04:45:51"
"Schweighofer, Georg 637","18","564","607","01:13:02","04:55:30","03:31:06"
"Ahmed, Andaloussi 113","2","1232","1547","01:08:51","07:21:35","02:52:26"
"Carr, Zachary 1336","38","272","294","01:03:07","04:36:07","03:35:39"
"Goodall, Michael 1820","224","1540","2106","01:31:08","06:57:04","05:29:17"
"Henz, Olivier 904","152","884","1002","01:19:31","05:00:32","03:58:20"
"Storm, Michael 214","40","1574","2161","01:32:00","06:20:56","06:44:02"
"Pallant, Emma 3027","--","--","--","00:58:24","04:53:54","--:--:--"
"Kundel, Steffen 2077","43","174","191","00:55:02","04:42:12","03:29:43"
"Nilsson, Åsa 859","46","469","1880","01:35:20","05:53:35","05:00:35"
"Bund, Sara 1930","63","376","1677","01:11:35","06:12:35","04:17:45"
"Gronek, Scott 2476","267","1520","2075","01:29:00","06:33:51","05:53:21"
"Faulkenberry, Meghan 2147","21","96","930","01:02:57","05:07:41","04:00:53"
"Boyes, David 396","102","1426","1908","01:08:28","05:36:06","06:01:24"
"Lasalle, Ashley 1586","9","77","832","01:00:42","05:08:54","03:53:04"
"Hagberg, Markus 2031","166","1007","1172","01:06:10","04:36:35","04:49:28"
"Lestrange, Missy 253","1","448","1839","01:11:54","06:02:33","05:03:26"
"Beirl, Luke 2012","136","656","709","01:09:12","04:45:36","03:56:25"
"Lambert, Brian 1668","137","590","634","01:01:23","04:47:43","03:55:37"
"Calzado Peco, Francisco 1806","211","1323","1713","01:19:01","06:04:31","04:24:56"
"Colvard, John 428","115","1516","2065","01:33:33","06:25:55","05:42:29"
"Gren, Malin 2201","46","257","1408","01:08:39","05:38:58","04:11:52"
"Hite, Amy 1551","53","288","1484","01:12:28","05:29:16","04:25:44"
"Deneen, Lindsey 1599","30","164","1166","01:00:38","05:26:55","04:04:44"
"Hoots, Gregory 700","191","1510","2057","01:09:12","05:52:07","06:44:01"
"Smith, Karen 842","63","575","2134","01:38:26","07:09:33","05:34:29"
"Genans Boiteux, Richard 607","27","674","731","00:57:10","05:05:25","03:50:18"
"Van Loon, Cornee 1014","249","1401","1858","01:10:02","06:07:08","05:03:14"
"Howle, Julie 1183","31","271","1442","01:04:21","05:54:16","04:03:53"
"Ledesma, Lisa 578","45","583","2151","01:29:26","07:17:14","05:43:50"
"Marin Ginests, Marc 1411","111","630","679","00:59:03","04:54:37","03:56:44"
"O'Flynn, Nancy 860","66","603","2200","01:35:23","07:09:07","06:10:01"
"Sequera, Carlos 1422","57","385","416","01:03:37","04:49:50","03:32:10"
"Yost, Laura 1572","17","112","985","01:14:49","05:20:40","03:42:02"
"Gras-Thompson, Bernarda 1180","--","--","--","--:--:--","--:--:--","--:--:--"
"Martin, Nicolas 2414","9","409","440","00:55:27","04:46:53","03:45:56"
"Scheiring, Hermann 317","1","591","635","01:04:44","05:10:41","03:30:10"
"Larsen, Mikkel 1834","13","82","89","01:03:24","04:30:57","03:15:08"
"Wild, Ruedi 41","14","14","14","00:50:48","04:19:48","02:58:04"
"Gaspariau, Pierre 1344","--","--","--","00:55:15","04:59:07","--:--:--"
"Risteen, Peter 471","52","1186","1468","01:20:24","05:23:57","04:17:37"
"Ruiz, Salvador 2001","35","149","162","01:00:33","04:36:38","03:23:07"
"Ellis, Taylor 2422","22","385","1699","01:08:24","06:11:31","04:28:51"
"Marchiori, Thomas Marco 410","70","1245","1571","01:22:20","05:42:03","04:21:35"
"Jurgen, De Boever 654","41","769","852","01:22:15","04:58:20","03:43:48"
"Muirhead, Graeme 671","178","1442","1933","01:26:11","06:28:49","04:55:54"
"Hancox, Lisa 1549","44","246","1384","01:00:31","05:49:16","04:03:02"
"Hawkins, Todd 1291","146","757","835","00:58:04","05:00:58","04:03:26"
"Mingay, Scott 1988","113","471","504","00:59:07","04:40:17","03:54:41"
"Kraft, Manfred 407","59","1202","1497","01:20:20","05:42:37","04:05:29"
"West, Mitch 1083","109","754","830","01:03:35","05:04:10","03:53:28"
"Rice, Grant 2308","--","--","--","--:--:--","--:--:--","--:--:--"
"Nyhus, Greg 771","186","1495","2025","01:08:48","06:16:38","05:57:02"
"Rollins, Emily 1564","42","240","1368","01:10:58","05:40:50","03:58:08"
"Vilanova, Claudia 362","25","549","2061","01:11:16","07:03:48","05:34:57"
"Arkell, Rob 2011","39","160","175","01:03:24","04:38:47","03:20:18"
"Onozuka, Takashi 241","--","--","--","01:47:00","07:08:45","--:--:--"
"Warrington, Wayne 1171","269","1531","2090","01:24:10","06:07:20","06:35:43"
"Young, Elaine 2172","38","203","1265","01:08:20","05:34:09","03:59:22"
"Kapel, Anton 1117","246","1383","1823","01:13:46","05:23:00","05:32:10"
"Dandurand, Yves 458","93","1371","1794","01:24:09","06:15:58","04:26:01"
"Kawahara, Hayato 1348","95","546","586","00:59:05","05:14:37","03:25:17"
"Scymanski, Eliot 2234","59","509","544","00:52:58","04:35:55","04:09:16"
"Courtois, Jeanne 2365","28","202","1263","01:14:57","05:28:51","03:58:09"
"Schepis, Craig 789","190","1509","2056","01:29:59","05:55:28","06:22:36"
"Drake, Wolfgang 2405","40","1437","1927","00:58:59","06:24:17","05:26:16"
"Huß, Jörg 1727","162","737","810","01:06:06","05:03:00","03:49:52"
"Reed, Tim 51","18","18","18","00:50:45","04:19:56","03:03:47"
"Swiatek, Erin 2453","24","409","1756","01:20:26","06:30:19","04:09:27"
"bikof, mania - maria 1201","63","454","1852","01:11:18","06:15:47","04:57:35"
"Aernouts, Bart 16","2","2","2","00:54:07","04:12:25","02:45:41"
"Vesterby, Michelle 3020","26","27","355","00:54:18","04:56:44","03:31:56"
"Wiltshire, Victoria 2183","33","179","1199","01:00:30","05:47:09","03:47:04"
"Hufe, Mareen 3012","13","13","149","00:58:34","04:43:50","03:18:40"
"Schiott, Jacob 937","225","1213","1520","01:13:41","05:13:58","04:45:18"
"Onishi, Masayuki 629","181","1472","1980","01:07:05","05:35:51","06:27:02"
"Rautapuro, Petri 784","210","1659","2291","01:29:57","07:14:03","07:33:05"
"Doyle, Christopher 430","23","942","1089","01:18:38","05:16:22","03:47:08"
"Choo, Ling Err 2144","18","86","879","01:08:17","05:10:01","03:49:53"
"Mickelson, Emma 2448","12","256","1407","01:07:55","05:53:29","03:56:34"
"Omarsson, Geir 1361","33","232","254","01:06:23","04:49:59","03:16:41"
